,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Architecture,,,,,,,,,,,,Structure,,,,,,HVAC,,,,Plumbing,,Drainage,,Fire-Fighting,,,Electrical,,,,,,,,
,,Components,Ceilings,Curtain Panels,Curtain wall mullions,Doors,Floors,Railings,Ramps,Roofs,Speciality Equipment,Stairs,Walls,Windows,Columns,Foundations,Floors,Framing,Trusses,Walls,Air Terminals,Ducts/Acce/Fittings,Mechanical Equipment,Pipes & fittings,Pipes & fittings,Plumbing Fixtures,Pipes & fittings,Drainage Fixtures,Mechanical Equipment,Pipes & fittings,Sprinklers,Cable Trays & fittings,Communication Devices,Data Devices,Electrical Equipment,Electrical Fixtures,Fire Alarm Devices,Lighting Devices,Lighting Fixtures,Security Devices
,Architecture,Ceilings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Curtain Panels,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Curtain wall mullions,H,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Doors,N/A,H,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Floors,N/A,N/A,N/A,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Railings,N/A,N/A,N/A,H,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ramps,N/A,N/A,N/A,H,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Roofs,N/A,H,H,H,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Speciality Equipment,H,H,H,H,H,H,H,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stairs,N/A,H,H,N/A,N/A,N/A,N/A,N/A,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Walls,N/A,N/A,H,N/A,N/A,N/A,N/A,H,H,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Windows,N/A,N/A,N/A,N/A,H,H,H,H,H,H,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Structure,Columns,N/A,H,H,H,N/A,H,H,N/A,H,H,N/A,H,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Foundations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
,,Floors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,,Framing,H,H,H,H,N/A,N/A,H,N/A,H,H,H,N/A,N/A,N/A,H,,,,,,,,,,,,,,,,,,,,,,,
,,Trusses,H,H,H,H,N/A,N/A,H,N/A,H,H,H,N/A,N/A,N/A,H,H,,,,,,,,,,,,,,,,,,,,,,
,,Walls,N/A,H,H,H,H,H,H,H,H,H,H,H,N/A,N/A,N/A,H,H,,,,,,,,,,,,,,,,,,,,,
,HVAC,Air Terminals,N/A,H,H,H,N/A,N/A,N/A,N/A,H,H,H,H,H,N/A,N/A,H,H,H,,,,,,,,,,,,,,,,,,,,
,,Ducts/Acce/Fittings,C-50,H,H,H,H,N/A,N/A,H,H,H,C-50,H,C-50,N/A,H,H,C-50,C-50,H,,,,,,,,,,,,,,,,,,,
,,Mechanical Equipment,C-50,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C-50,,,,,,,,,,,,,,,,,,
,,Pipes & fittings,C-50,H,H,H,N/A,N/A,N/A,C-50,H,H,C-50,H,H,N/A,N/A,H,H,C-50,C-50,C-50,C-50,,,,,,,,,,,,,,,,,
,Plumbing,Pipes & fittings,C-50,H,H,H,N/A,N/A,N/A,C-50,H,H,C-50,H,H,N/A,N/A,H,H,H,C-50,C-50,C-50,C-150,,,,,,,,,,,,,,,,
,,Plumbing Fixtures,N/A,H,H,H,N/A,N/A,N/A,N/A,H,N/A,H,H,H,N/A,N/A,H,H,H,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,
,Drainage,Pipes & fittings,C-50,H,H,H,H,H,N/A,H,H,H,C-50,H,H,H,N/A,H,H,H,C-50,C-50,C-50,C-150,C-150,H,,,,,,,,,,,,,,
,,Drainage Fixtures,N/A,H,H,H,H,H,H,H,H,H,H,H,H,H,N/A,H,H,H,N/A,H,N/A,H,H,H,H,,,,,,,,,,,,,
,Fire-Fighting,Mechanical Equipment,C-50,H,H,H,N/A,N/A,N/A,H,H,H,H,H,H,H,H,H,H,H,H,C-50,H,C-50,H,C-25,H,H,,,,,,,,,,,,
,,Pipes & fittings,C-50,H,H,H,N/A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C-50,H,C-150,C-150,H,C-150,H,C-50,,,,,,,,,,,
,,Sprinklers,N/A,H,H,H,N/A,N/A,N/A,N/A,H,H,H,N/A,H,H,H,H,H,H,H,C-50,H,C-50,C-50,N/A,H,N/A,N/A,N/A,,,,,,,,,,
,Electrical,Cable Trays & fittings,C-50,H,H,N/A,N/A,N/A,N/A,N/A,H,H,H,N/A,H,N/A,H,H,H,H,H,C-300,H,C-300,C-300,N/A,C-300,N/A,C-50,C-300,H,,,,,,,,,
,,Communication Devices,N/A,H,H,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,,Data Devices,N/A,H,H,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,,Electrical Equipment,N/A,H,H,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,H,N/A,N/A,H,N/A,N/A,N/A,C-300,C-50,C-100,C-100,N/A,C-100,N/A,C-50,C-100,H,H,H,H,,,,,,
,,Electrical Fixtures,N/A,H,H,H,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,H,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,H,N/A,N/A,N/A,H,,,,,
,,Fire Alarm Devices,N/A,H,H,H,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,H,N/A,N/A,H,N/A,N/A,C-100,H,H,C-100,C-100,N/A,C-100,N/A,N/A,C-100,H,H,N/A,N/A,H,H,,,,
,,Lighting Devices,N/A,H,H,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,H,N/A,N/A,H,H,C-50,H,H,N/A,H,N/A,C-50,H,H,H,N/A,N/A,H,N/A,H,,,
,,Lighting Fixtures,N/A,H,H,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,H,N/A,N/A,H,N/A,N/A,H,H,C-50,H,H,N/A,H,N/A,C-50,H,H,H,N/A,N/A,H,N/A,H,H,,
,,Security Devices,N/A,H,H,H,N/A,N/A,N/A,N/A,H,N/A,H,N/A,H,N/A,N/A,H,N/A,H,H,H,C-50,H,H,N/A,H,N/A,C-50,H,H,H,N/A,N/A,H,N/A,H,H,H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,H,Hard clash - Where two components are in confilict with each other.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,C,Clearance reuired. Clearance value in mm indicated next to C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,Not Applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,