,,АР,,,,,,,КР,,,,,,,,ВК (К),,,ОВ (Вент.),,,,ОВ (Отоп.),,,ВК (В),,,АУПТ,,,,"ЭО, ЭС, ЭМ, СС",,,
,,Стены,Витражи,Пол / Кровля,Потолок,Двери / Окна,Ограждения,,Стены,Коллоны / Пилоны,Плиты фундамента,Перекрытия / Покрытия / Рампы,Балки,КМ,Лестницы,,Трубы / Дренаж,Оборудование,,Воздухораспредел.,Воздуховод,Оборудование,,Трубы,Оборудование,,Трубы,Оборудование,,Оборудование,Трубы,Спринклеры,,Кабельканалы / Лотки,Светильники,Оборудование,Щиты / Шкафы
АР,Стены,Д,П,П,П,N/A,П,,П,П,П,П,П,П,П,,Р-50,П,,П,Р-50,П,,П,N/A,,П,N/A,,Р-50,Р-50,N/A,,N/A,N/A,П,N/A
,Витражи,П,Д,N/A,П,N/A,П,,П,П,N/A,П,П,N/A,N/A,,П,N/A,,N/A,П,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,Пол / Кровля,П,N/A,Д,N/A,П,N/A,,П,П,П,П,П,П,П,,П,N/A,,N/A,П,N/A,,N/A,N/A,,N/A,N/A,,П,П,N/A,,П,N/A,N/A,N/A
,Потолок,П,П,N/A,Д,П,П,,П,П,П,П,П,П,N/A,,N/A,N/A,,N/A,П,N/A,,N/A,N/A,,N/A,N/A,,П,П,N/A,,N/A,N/A,N/A,N/A
,Двери / Окна,N/A,N/A,П,П,Д,N/A,,П,П,П,П,П,П,П,,П,N/A,,П,П,N/A,,П,N/A,,П,N/A,,N/A,N/A,N/A,,N/A,N/A,П,N/A
,Ограждения,П,П,N/A,П,N/A,Д,,N/A,N/A,N/A,N/A,N/A,N/A,П,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КР,Стены,П,П,П,П,П,N/A,,Д,П,П,П,П,П,П,,Р-50,N/A,,П,Р-50,П,,N/A,N/A,,N/A,N/A,,П,П,П,,N/A,N/A,П,N/A
,Коллоны / Пилоны,П,П,П,П,П,N/A,,П,Д,П,П,П,П,П,,N/A,П,,П,Р-50,П,,N/A,П,,N/A,П,,П,П,П,,N/A,N/A,П,N/A
,Плиты фундамента,П,N/A,П,П,П,N/A,,П,П,Д,П,П,П,П,,N/A,П,,N/A,N/A,П,,N/A,П,,N/A,П,,П,N/A,N/A,,N/A,N/A,П,N/A
,Перекрытия / Покрытия / Рампы,П,П,П,П,П,N/A,,П,П,П,Д,П,П,П,,П,П,,N/A,П,П,,N/A,П,,N/A,П,,П,П,П,,П,N/A,П,N/A
,Балки,П,П,П,П,П,N/A,,П,П,П,П,Д,П,П,,N/A,П,,N/A,Р-50,N/A,,N/A,П,,N/A,П,,П,П,N/A,,N/A,N/A,П,N/A
,КМ,П,N/A,П,П,П,N/A,,П,П,П,П,П,Д,П,,N/A,П,,N/A,П,N/A,,N/A,П,,N/A,П,,П,П,N/A,,N/A,N/A,П,N/A
,Лестницы,П,N/A,П,N/A,П,П,,П,П,П,П,П,П,Д,,N/A,N/A,,N/A,П,N/A,,N/A,N/A,,N/A,N/A,,П,П,N/A,,N/A,N/A,П,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВК (К),Трубы / Дренаж,Р-50,П,П,N/A,П,N/A,,Р-50,N/A,N/A,П,N/A,N/A,N/A,,Д,П,,Р-50,Р-150,Р-50,,П,П,,П,N/A,,П,Р-150,П,,Р-100,N/A,П,П
,Оборудование,П,N/A,N/A,N/A,N/A,N/A,,N/A,П,П,П,П,П,N/A,,П,Д,,N/A,N/A,N/A,,П,П,,N/A,N/A,,П,П,N/A,,П,N/A,П,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОВ (Вент.),Воздухораспредел.,П,N/A,N/A,N/A,П,N/A,,П,П,N/A,N/A,N/A,N/A,N/A,,Р-50,N/A,,Д,N/A,N/A,,N/A,N/A,,Р-50,N/A,,П,П,П,,N/A,N/A,N/A,N/A
,Воздуховод,Р-50,П,П,П,П,N/A,,Р-50,Р-50,N/A,П,Р-50,П,П,,Р-150,N/A,,N/A,Д,П,,П,П,,Р-50,N/A,,Р-50,Р-50,Р-50,,Р-100,N/A,N/A,Р-100
,Оборудование,П,N/A,N/A,N/A,N/A,N/A,,П,П,П,П,N/A,N/A,N/A,,Р-50,N/A,,N/A,П,Д,,П,П,,Р-50,N/A,,П,П,П,,П,N/A,П,Р-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОВ (Отоп.),Трубы,П,N/A,N/A,N/A,П,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,П,П,,N/A,П,П,,Д,П,,П,П,,П,Р-150,Р-50,,Р-100,N/A,N/A,Р-100
,Оборудование,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,П,П,П,П,П,N/A,,П,П,,N/A,П,П,,П,Д,,П,П,,П,П,П,,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВК (В),Трубы,П,N/A,N/A,N/A,П,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,П,N/A,,Р-50,Р-50,Р-50,,П,П,,Д,N/A,,П,Р-150,Р-50,,Р-100,N/A,П,N/A
,Оборудование,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,П,П,П,П,П,N/A,,N/A,N/A,,N/A,N/A,N/A,,П,П,,N/A,Д,,П,П,N/A,,Р-50,N/A,П,Р-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
АУПТ,Оборудование,Р-50,N/A,П,П,N/A,N/A,,П,П,П,П,П,П,П,,П,П,,П,Р-50,П,,П,П,,П,П,,Д,П,N/A,,Р-50,N/A,N/A,П
,Трубы,Р-50,N/A,П,П,N/A,N/A,,П,П,N/A,П,П,П,П,,Р-150,П,,П,Р-50,П,,Р-150,П,,Р-150,П,,П,Д,N/A,,Р-100,N/A,N/A,П
,Спринклеры,N/A,N/A,N/A,N/A,N/A,N/A,,П,П,N/A,П,N/A,N/A,N/A,,П,N/A,,П,Р-50,П,,Р-50,П,,Р-50,N/A,,N/A,N/A,Д,,П,N/A,N/A,П
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЭО, ЭС, ЭМ, СС",Кабельканалы / Лотки,N/A,N/A,П,N/A,N/A,N/A,,N/A,N/A,N/A,П,N/A,N/A,N/A,,Р-100,П,,N/A,Р-100,П,,Р-100,N/A,,Р-100,Р-50,,Р-50,Р-100,П,,Д,N/A,N/A,N/A
,Светильники,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,,N/A,Д,N/A,N/A
,Оборудование,П,N/A,N/A,N/A,П,N/A,,П,П,П,П,П,П,П,,П,П,,N/A,N/A,П,,N/A,N/A,,П,П,,N/A,N/A,N/A,,N/A,N/A,Д,N/A
,Щиты / Шкафы,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,П,N/A,,N/A,Р-100,Р-50,,Р-100,N/A,,N/A,Р-50,,П,П,П,,N/A,N/A,N/A,Д